id,text
N001,ADORO Este Produto!
N002,O SERVIÇO foi EXCELENTE.
N003,Café muito bom.
N004,Café muito bom.
N005,A aplicação é rápida… e intuitiva.
N006,“Fantástico” — recomendo.
N007,Olá mundo!
N008,Texto	com	separadores.
N009,"Linha um.
Linha dois."
N010,Muitos     espaços entre palavras.
N011,  espaços no início e no fim  
N012,Conteúdo ＭＵＩＴＯ bom！
N013,"PORTO, Lisboa e COIMBRA."
N014,Já recebi o reembolso.
N015,não gostei
N016,não gostei
N017,A​plicação muito útil.
N018,"Preço: 19,99 €."
N019,Sem alterações necessárias.
N020,"  TEXTO	MISTO
com   vários espaços.  "
